store_id,birthdate,purchases_qty
1,1964-07-28,6
1,1965-01-09,6
1,1965-01-27,6
1,1967-07-30,6
1,1967-11-04,6
1,1968-03-20,6
1,1968-04-06,6
1,1971-02-16,6
1,1971-11-23,6
1,1971-12-22,6
1,1974-09-24,6
1,1975-08-15,6
1,1978-06-10,6
1,1978-07-09,6
1,1984-11-28,6
1,1987-07-27,6
1,1990-03-16,6
1,1992-10-17,6
1,1993-10-14,6
1,1995-01-11,6
1,1996-02-27,6
1,1996-09-27,6
1,1997-04-30,6
1,1997-07-28,6
1,1971-11-13,7
1,1974-07-07,7
1,1976-08-10,7
1,1987-05-29,7
1,1994-02-24,7
1,1995-02-11,7
1,1995-12-17,7
1,2001-06-11,7
1,2001-09-12,7
1,2002-09-26,7
1,2008-05-26,7
2,1966-01-12,6
2,1966-03-13,6
2,1966-09-04,6
2,1967-03-11,6
2,1968-05-09,6
2,1968-11-11,6
2,1969-11-12,6
2,1972-07-17,6
2,1973-10-22,6
2,1975-03-02,6
2,1977-03-04,6
2,1977-05-22,6
2,1977-11-09,6
2,1978-11-01,6
2,1980-03-20,6
2,1980-04-28,6
2,1981-12-15,6
2,1988-08-13,6
2,1989-06-28,6
2,1992-05-10,6
2,1993-01-29,6
2,1995-05-15,6
2,2000-10-13,6
2,2004-02-17,6
2,2004-06-28,6
2,2004-11-13,6
2,2007-03-28,6
2,2008-08-07,6
2,1983-01-06,7
2,1989-11-10,7
2,1991-02-01,7
2,1999-08-03,7
2,2002-07-23,7
2,2007-06-14,7
2,1988-09-13,8
3,1965-02-27,6
3,1965-04-17,6
3,1965-05-17,6
3,1967-08-29,6
3,1968-06-26,6
3,1971-01-01,6
3,1971-02-01,6
3,1971-03-08,6
3,1973-02-07,6
3,1973-05-28,6
3,1973-07-03,6
3,1975-02-13,6
3,1976-01-26,6
3,1976-04-13,6
3,1983-04-19,6
3,1985-08-26,6
3,1985-11-04,6
3,1986-07-03,6
3,1987-06-11,6
3,1990-09-19,6
3,1991-07-23,6
3,1992-11-18,6
3,1993-06-05,6
3,1994-07-27,6
3,1995-04-18,6
3,1999-06-19,6
3,1999-12-29,6
3,2002-08-01,6
3,2004-09-21,6
3,2005-01-02,6
3,2006-02-27,6
3,2007-03-26,6
3,2009-03-19,6
3,1978-01-25,7
3,2007-12-30,7
4,1966-12-03,6
4,1970-08-29,6
4,1970-11-02,6
4,1973-11-19,6
4,1974-04-18,6
4,1978-06-16,6
4,1979-01-25,6
4,1979-05-25,6
4,1983-01-21,6
4,1983-10-16,6
4,1983-12-16,6
4,1987-06-02,6
4,1988-03-16,6
4,1988-06-01,6
4,1991-08-02,6
4,1994-03-16,6
4,1996-07-11,6
4,1999-12-12,6
4,2001-02-16,6
4,2003-06-14,6
4,2004-10-02,6
4,2006-06-19,6
4,2008-11-11,6
4,2009-04-15,6
4,1970-01-28,7
4,1973-08-12,7
4,1977-08-07,7
4,1984-11-07,7
4,1993-01-20,7
4,1995-10-29,7
4,1998-10-25,7
4,2001-10-10,7
4,2005-09-18,7
4,2006-08-06,7
4,1970-01-03,8
5,1966-08-22,6
5,1967-09-21,6
5,1967-11-17,6
5,1970-02-13,6
5,1971-05-30,6
5,1977-08-30,6
5,1978-04-10,6
5,1979-08-23,6
5,1983-01-31,6
5,1983-05-30,6
5,1985-05-18,6
5,1985-09-16,6
5,1986-04-05,6
5,1987-05-10,6
5,1988-01-30,6
5,1991-03-29,6
5,1997-08-19,6
5,1998-02-25,6
5,1998-03-05,6
5,1998-09-29,6
5,1998-12-16,6
5,1999-08-21,6
5,2002-03-27,6
5,2002-12-12,6
5,1968-10-08,7
5,1969-03-15,7
5,1972-03-05,7
5,1972-03-19,7
5,1980-01-16,7
5,1992-01-17,7
5,1994-06-06,7
5,1997-02-08,7
5,1999-02-13,7
5,2004-12-23,7
5,2007-07-06,7
6,1969-07-31,6
6,1972-11-18,6
6,1976-12-06,6
6,1977-07-12,6
6,1978-01-21,6
6,1978-12-22,6
6,1978-12-25,6
6,1980-12-08,6
6,1986-01-25,6
6,1988-01-23,6
6,1989-03-04,6
6,1990-03-10,6
6,1990-05-18,6
6,1992-10-06,6
6,1998-04-25,6
6,1999-05-18,6
6,1999-07-21,6
6,2002-03-16,6
6,2002-04-17,6
6,2004-09-06,6
6,2004-12-12,6
6,2006-12-07,6
6,1966-04-05,7
6,1977-02-12,7
6,1980-03-17,7
6,1981-12-15,7
6,1983-04-03,7
6,1983-04-09,7
6,1984-08-25,7
6,1985-12-21,7
6,2006-04-13,7
6,2007-06-04,7
6,1973-10-31,8
6,1997-08-10,8
6,2006-01-28,8
7,1970-06-02,6
7,1972-03-24,6
7,1972-08-07,6
7,1973-12-24,6
7,1974-08-16,6
7,1976-04-16,6
7,1977-09-22,6
7,1979-05-15,6
7,1980-02-10,6
7,1980-11-18,6
7,1982-07-16,6
7,1985-01-18,6
7,1985-03-05,6
7,1986-02-20,6
7,1986-07-27,6
7,1986-08-21,6
7,1987-05-13,6
7,1990-11-07,6
7,1998-05-29,6
7,2000-03-28,6
7,2000-07-01,6
7,2000-10-10,6
7,2000-12-29,6
7,2003-03-27,6
7,2003-06-22,6
7,2004-10-09,6
7,2007-05-22,6
7,1965-06-02,7
7,1970-04-21,7
7,1976-05-24,7
7,1977-06-27,7
7,1981-01-12,7
7,1984-01-20,7
7,1989-03-07,7
7,1995-04-18,7
8,1966-09-03,6
8,1967-02-08,6
8,1967-04-27,6
8,1968-01-16,6
